Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.2,135.335,130.776,109.683,87.4219,65.5058
0.2005,137.311,133.534,111.001,89.1402,67.4389
0.201,132.872,129.95,106.31,85.0408,63.5611
0.2015,134.388,132.337,107.657,86.9115,65.5719
0.202,136.076,135.142,109.324,89.0656,67.8971
0.2025,136.538,136.43,109.865,90.2081,69.1951
0.203,140.872,140.728,112.518,93.1659,72.2789
0.2035,132.351,132.817,102.533,83.788,62.7973
0.204,138.716,141.329,105.613,87.9353,67.1732
0.2045,142.227,148.738,101.527,85.444,64.5345
0.205,157.745,172.915,100.866,88.5237,67.9139
0.2055,191.504,230.918,98.5644,92.89,72.5461
0.206,145.965,165.493,104.975,82.4312,63.1393
0.2065,93.2498,77.2327,105.265,92.2004,70.6187
0.207,106.071,92.2314,115.219,85.1436,64.5569
0.2075,128.907,120.518,132.147,88.147,69.3187
0.208,117.392,112.506,104.164,87.587,66.9666
0.2085,120.973,118.156,106.049,80.4644,60.0373
0.209,120.416,119.51,102.44,79.1203,57.8015
0.2095,124.325,123.496,104.046,80.3343,58.6001
0.21,127.776,127.437,107.762,86.0959,64.2051
0.2105,131.254,130.134,109.547,86.2816,64.0509
0.211,119.892,119.949,103.156,80.309,57.9617
0.2115,126.579,125.791,105.962,82.9582,60.4351
0.212,133.916,131.197,105.289,82.1122,59.5025
0.2125,125.497,125.106,105.881,82.534,59.926
0.213,129.025,128.122,106.509,84.3658,61.6003
0.2135,126.622,125.528,106.802,84.3882,61.5447
0.214,130.031,128.446,108.788,85.3028,62.4691
0.2145,129.955,127.95,107.282,83.3204,60.4835
0.215,126.193,124.128,102.575,78.4772,55.6956
0.2155,125.227,122.632,101.147,77.4276,54.6949
0.216,130.355,127.878,106.039,82.0074,59.3915
0.2165,134.085,131.026,109.326,85.1151,62.6537
0.217,130.849,128.349,106.82,81.7874,59.5363
0.2175,131.452,128.202,105.821,80.2447,57.9684
0.218,131.69,128.398,106.051,79.8526,57.6762
0.2185,138.612,134.789,114.082,87.5039,65.3825
0.219,132.413,128.658,107.215,80.6882,58.6471
0.2195,138.486,134.612,111.749,85.8579,63.8536
0.22,125.395,121.387,100.981,76.1931,54.408
0.2205,123.354,119.603,103.671,76.9496,55.155
0.221,124.074,121.175,106.711,77.9824,56.1312
0.2215,130.151,127.625,112.078,82.6502,60.8421
0.222,123.831,123.515,104.575,75.0074,53.0341
0.2225,137.918,136.864,116.323,87.2294,65.4661
0.223,118.592,118.204,97.8292,69.0497,47.1857
0.2235,127.437,127.281,106.983,78.3263,55.9105
0.224,121.742,121.961,99.8062,71.4292,48.9527
0.2245,123.886,123.616,98.365,70.3934,48.4659
0.225,121.991,120.664,93.1032,64.8401,43.1952
0.2255,130.052,128.81,97.289,69.5197,47.3278
0.226,152.386,150.014,97.8032,71.2355,50.0413
0.2265,139.004,137.013,99.1612,74.6113,54.0742
0.227,82.7122,82.6902,90.3979,69.3978,49.0918
0.2275,96.7042,97.0479,89.2605,69.5839,49.5503
0.228,109.517,108.974,94.5386,72.1823,52.4071
0.2285,116.226,114.971,97.9184,73.0269,53.3675
0.229,120.872,119.08,101.935,75.2098,55.4818
0.2295,122.156,120.809,103.887,76.2069,56.3279
0.23,120.307,118.549,100.309,71.8601,51.7215
0.2305,119.387,116.894,101.415,71.4459,50.8894
0.231,120.282,117.718,105.818,71.7736,51.1779
0.2315,118.647,116.315,101.608,69.1189,47.6242
0.232,113.873,111.315,94.7053,65.1289,43.3338
0.2325,129.539,126.945,112.078,79.3646,57.2124
0.233,123.444,121.816,110.803,70.4371,48.3561
0.2335,123.682,121.08,108.635,72.7759,49.5282
0.234,116.597,114.565,97.9706,66.3237,43.9297
0.2345,115.909,112.764,95.5366,66.439,42.9879
0.235,108.96,106.236,98.2926,66.4953,43.0155
0.2355,126.168,124.335,117.222,82.7521,54.4681
0.236,109.777,107.867,100.535,65.9498,39.6564
0.2365,120.592,118.813,111.669,75.8713,54.5477
0.237,115.383,114.52,106.662,67.2697,42.2767
0.2375,111.618,113.471,101.805,63.2651,41.6392
0.238,124.634,124.947,108.667,78.5458,45.9368
0.2385,94.5809,94.1548,81.6115,53.6025,38.1656
0.239,116.274,113.955,105.897,74.4222,42.293
0.2395,94.4376,92.9329,84.7794,52.4546,35.6764
0.24,109.836,108.22,95.6408,64.0287,37.7619
0.2405,111.288,109.816,96.1342,65.2892,40.2036
0.241,107.495,105.336,93.3881,64.0713,41.1164
0.2415,108.813,106.259,91.4961,63.7936,41.1578
0.242,115.581,112.895,96.3225,69.76,46.8767
0.2425,115.566,113.225,98.0552,70.8239,47.4872
0.243,113.107,110.422,98.5764,68.1811,45.323
0.2435,105.497,102.646,93.3838,59.6956,37.0221
0.244,109.316,106.589,99.2146,62.5868,39.9173
0.2445,109.031,106.66,100.406,61.3105,39.1348
0.245,114.57,113.179,106.551,64.3958,41.9516
0.2455,110.868,109.294,103.276,59.6256,37.8737
0.246,105.859,103.048,103.612,60.3065,38.6368
0.2465,100.72,98.1645,96.6096,53.3944,31.8258
0.247,107.017,104.799,102.813,59.617,37.8115
0.2475,103.217,101.216,101.887,57.2943,35.7063
0.248,102.809,100.723,102.567,56.9306,35.3974
0.2485,103.221,101.372,102.878,56.9527,35.6727
0.249,103.083,101.238,102.549,56.9426,35.4054
0.2495,106.799,104.814,103.646,58.5536,37.0185
0.25,107.638,106.342,102.285,58.6053,36.3657
0.2505,114.522,112.841,102.983,59.9713,37.5745
0.251,104.656,103.154,93.5494,55.4548,35.3495
0.2515,114.798,112.683,98.2053,57.3821,35.705
0.252,109.766,107.82,93.0975,56.8352,35.9448
0.2525,111.963,109.304,91.4734,55.6885,33.6614
0.253,142.212,139.99,117.497,68.0582,37.7134
0.2535,57.0876,52.7808,63.714,43.4505,33.5682
0.254,83.553,80.6054,75.5294,52.2479,35.2781
0.2545,99.24,97.3159,89.1445,55.4106,35.3837
0.255,99.7846,98.6602,88.5255,53.4317,33.0674
0.2555,99.1322,98.74,86.2213,51.5942,31.1326
0.256,102.643,104.252,89.9617,54.8767,34.1192
0.2565,103.14,106.485,93.4897,57.2037,36.1383
0.257,103.435,103.045,93.7344,55.4408,33.7095
